eventName,screenName,context,category,userId,sessionId,date,operatingSystem
search,home,navigation,,6247,95436535703,21-08-2022,iOS
home,home,navigation,,2701,28966502062,06-08-2022,Android
library,home,navigation,,3685,38875520340,07-08-2022,iOS
settings,home,,,1917,64738321330,30-08-2022,Android
image,home,recently_played,Chilled Hits,2940,102450394295,13-08-2022,iOS
image,home,recently_played,Study beats,3962,24629164563,06-08-2022,iOS
image,home,recently_played,Chill as Folk,3930,46487835680,24-08-2022,Android
image,home,suggestions,Indie,6848,92064960961,14-08-2022,Android
image,home,suggestions,Dance & EDM,1795,89069200408,01-08-2022,Android
image,home,suggestions,Country Rock,6903,53744875528,01-08-2022,iOS
image,home,suggestions,Electronic,1566,108879185550,28-08-2022,iOS
image,home,suggestions,Are & Be,7794,100253521906,11-08-2022,Android
image,home,suggestions,Chilled Hits,4252,92794407200,16-08-2022,iOS
image,home,made_for_you,Chilled Hits,6921,27732092206,29-08-2022,Android
image,home,made_for_you,Chilled Vibes,5805,95195917919,20-08-2022,iOS
search,search,bar,,6067,40746829809,26-08-2022,Android
search,search,navigation,,4815,58415935485,03-08-2022,iOS
home,search,navigation,,3411,29884397682,30-08-2022,iOS
library,search,navigation,,4860,13159402838,11-08-2022,iOS
image,search,popular,YouTubers,8413,12718736536,17-08-2022,iOS
image,search,popular,Comedy,3463,66748805511,13-08-2022,iOS
image,search,top_genres,Dance/Electronic,6790,110822283818,16-08-2022,iOS
image,search,top_genres,Rock,3239,66219234303,19-08-2022,Android
image,search,popular,YouTubers,3510,88193332385,25-08-2022,Android
image,search,popular,Comedy,9784,75091229396,06-08-2022,Android
image,search,browse_all,Podcasts,3634,77955716702,29-08-2022,iOS
image,search,browse_all,Charts,3719,42609680947,29-08-2022,iOS
image,search,browse_all,Chillout,3127,63783070155,13-08-2022,iOS
image,search,browse_all,Study Jams,3095,98628669367,03-08-2022,iOS
home,search,navigation,,5750,94633453198,12-08-2022,iOS
search,search,navigation,,6474,89352032615,20-08-2022,Android
library,search,navigation,,1549,13951789069,28-08-2022,Android
play,album,album,,4309,101939619915,05-08-2022,Android
play,album,song,,8929,81973948419,18-08-2022,Android
love,album,album,,2828,49725980231,29-08-2022,Android
download,album,,,1872,16902682060,21-08-2022,Android
random,album,,,1481,102697814881,13-08-2022,iOS
more,album,,,5891,66461385638,30-08-2022,iOS
